timestamp,date,agv_id,task_type,duration,target_node
1773728491,2026-03-17,AGV02,return,238,102
1773728491,2026-03-17,AGV02,delivery,174,11
1773728491,2026-03-17,AGV02,pickup,161,2
1773728491,2026-03-17,AGV01,pickup,74,51
1773728491,2026-03-17,AGV01,return,60,73
1773728491,2026-03-17,AGV02,return,147,107
1773728491,2026-03-17,AGV01,return,51,411
1773728491,2026-03-17,AGV02,return,157,2
1773728491,2026-03-17,AGV02,pickup,281,102
1773728491,2026-03-17,AGV01,delivery,128,10
1773728491,2026-03-17,AGV02,delivery,59,72
1773728491,2026-03-17,AGV01,pickup,212,105
1773728491,2026-03-17,AGV02,return,158,71
1773728491,2026-03-17,AGV01,return,35,51
1773728491,2026-03-17,AGV01,pickup,276,24
1773728491,2026-03-17,AGV02,pickup,250,210
1773728491,2026-03-17,AGV02,return,249,105
1773728491,2026-03-17,AGV02,pickup,79,61
1773728491,2026-03-17,AGV02,return,179,2
1773728491,2026-03-17,AGV02,pickup,174,71
1773728491,2026-03-17,AGV02,pickup,194,999
1773728491,2026-03-17,AGV02,delivery,139,102
1773728491,2026-03-17,AGV01,pickup,129,73
1773728491,2026-03-17,AGV02,pickup,110,105
1773728491,2026-03-17,AGV02,delivery,154,210
1773728491,2026-03-17,AGV01,delivery,127,102
1773728491,2026-03-17,AGV01,delivery,82,411
1773728491,2026-03-17,AGV01,delivery,33,73
1773728491,2026-03-17,AGV01,pickup,199,81
1773728491,2026-03-17,AGV02,pickup,233,71
1773728491,2026-03-17,AGV01,pickup,240,24
1773728491,2026-03-17,AGV02,pickup,74,105
1773728491,2026-03-17,AGV02,pickup,68,101
1773728491,2026-03-17,AGV01,pickup,103,413
1773728491,2026-03-17,AGV01,delivery,124,10
1773728491,2026-03-17,AGV02,delivery,139,61
1773728491,2026-03-17,AGV01,delivery,219,71
1773728491,2026-03-17,AGV01,delivery,292,11
1773728491,2026-03-17,AGV01,delivery,252,108
1773728491,2026-03-17,AGV01,delivery,76,74
1773728492,2026-03-17,AGV02,delivery,105,105
1773728492,2026-03-17,AGV02,return,239,11
1773728492,2026-03-17,AGV02,pickup,208,72
1773728492,2026-03-17,AGV01,delivery,86,413
1773728492,2026-03-17,AGV02,pickup,70,71
1773728492,2026-03-17,AGV01,pickup,204,101
1773728492,2026-03-17,AGV02,delivery,252,413
1773728492,2026-03-17,AGV01,delivery,212,81
1773728492,2026-03-17,AGV02,return,178,210
1773728492,2026-03-17,AGV02,pickup,65,24
1773728492,2026-03-17,AGV02,delivery,66,61
1773728492,2026-03-17,AGV02,pickup,244,10
1773728492,2026-03-17,AGV01,delivery,158,81
1773728492,2026-03-17,AGV01,return,59,10
1773728492,2026-03-17,AGV01,pickup,225,410
1773728492,2026-03-17,AGV01,return,255,73
1773728492,2026-03-17,AGV02,pickup,162,72
1773728492,2026-03-17,AGV02,return,296,71
1773728492,2026-03-17,AGV01,delivery,216,410
1773728492,2026-03-17,AGV02,delivery,110,71
1773728492,2026-03-17,AGV01,delivery,118,102
1773728492,2026-03-17,AGV01,return,164,81
1773728492,2026-03-17,AGV02,pickup,120,73
1773728492,2026-03-17,AGV02,delivery,173,410
1773728492,2026-03-17,AGV02,delivery,284,2
1773728492,2026-03-17,AGV02,pickup,130,73
1773728492,2026-03-17,AGV02,pickup,272,413
1773728492,2026-03-17,AGV01,pickup,71,11
1773728492,2026-03-17,AGV02,pickup,292,51
1773728492,2026-03-17,AGV02,pickup,231,2
1773728492,2026-03-17,AGV01,return,46,411
1773728492,2026-03-17,AGV01,delivery,194,107
1773728492,2026-03-17,AGV02,delivery,187,73
1773728492,2026-03-17,AGV02,delivery,120,51
1773728492,2026-03-17,AGV02,pickup,194,11
1773728492,2026-03-17,AGV01,pickup,227,101
1773728492,2026-03-17,AGV02,delivery,39,2
1773728492,2026-03-17,AGV01,pickup,274,72
1773728492,2026-03-17,AGV01,return,219,61
1773728492,2026-03-17,AGV01,return,183,108
1773728493,2026-03-17,AGV02,return,139,411
1773728493,2026-03-17,AGV02,pickup,177,81
1773728493,2026-03-17,AGV02,delivery,285,412
1773728493,2026-03-17,AGV02,return,266,412
1773728493,2026-03-17,AGV01,pickup,242,412
1773728493,2026-03-17,AGV01,return,84,101
1773728493,2026-03-17,AGV01,delivery,282,61
1773728493,2026-03-17,AGV01,pickup,81,74
1773728493,2026-03-17,AGV02,pickup,228,72
1773728493,2026-03-17,AGV01,pickup,252,413
1773728493,2026-03-17,AGV02,pickup,160,11
1773728493,2026-03-17,AGV02,delivery,150,51
1773728493,2026-03-17,AGV02,return,183,412
1773728493,2026-03-17,AGV02,delivery,186,61
1773728493,2026-03-17,AGV01,pickup,200,11
1773728493,2026-03-17,AGV01,return,284,105
1773728493,2026-03-17,AGV02,pickup,248,101
1773728493,2026-03-17,AGV02,return,190,102
1773728493,2026-03-17,AGV01,return,154,51
1773728493,2026-03-17,AGV02,delivery,201,71
1773728493,2026-03-17,AGV02,delivery,295,413
